Episode,Rating
"S8E27 Islands Part 8: The Light Cloud",9.501234567891
"S9E1 Orb",8.201234567891
"S9E2 Elements Part 1: Skyhooks",8.801234567891
"S9E3 Elements Part 2: Bespoken For",8.801234567891
"S9E4 Elements Part 3: Winter Light",8.701234567891
"S9E5 Elements Part 4: Cloudy",8.401234567891
"S9E6 Elements Part 5: Slime Central",8.201234567891
"S9E7 Elements Part 6: Happy Warrior",8.601234567891
"S9E8 Elements Part 7: Hero Heart",8.601234567891
"S9E9 Elements Part 8: Skyhooks II",9.001234567891
"S9E10 Abstract",8.301234567891
"S9E11 Ketchup",8.501234567891
"S9E12 Fionna and Cake and Fionna",6.901234567891
"S9E13 Whispers",8.801234567891
"S9E14 Three Buckets",9.101234567891
"S10E1 The Wild Hunt",8.501234567891
"S10E2 Always BMO Closing",8.001234567891
"S10E3 Son of Rap Bear",7.301234567891
"S10E4 Bonnibel Bubblegum",9.101234567891
"S10E5 Seventeen",8.501234567891
"S10E6 Ring of Fire",6.901234567891
"S10E7 Marcy & Hunson",8.301234567891
"S10E8 The First Investigation",9.101234567891
"S10E9 Blenanas",7.801234567891
"S10E10 Jake the Starchild",8.401234567891
"S10E11 Temple of Mars",8.501234567891
"S10E12 Gumbaldia",8.801234567891
"S10E13 Come Along With Me",9.701234567891
